iter	Passed	Remaining
0	0	41
1	0	37
2	1	34
3	1	32
4	1	31
5	1	31
6	2	30
7	2	30
8	2	29
9	3	29
10	3	28
11	3	28
12	4	28
13	4	28
14	4	28
15	5	27
16	5	27
17	5	27
18	6	27
19	6	26
20	7	26
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	17
45	15	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	21	11
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	24	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	28	4
86	28	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	31	1
94	31	1
95	31	1
96	32	0
97	32	0
98	32	0
99	32	0
